Source,count,mean,median,standard_deviation,minimum,maximum,q10,q25,q75,q90,q95,q99,iqr,mean_median_ratio
Source1,231460,732.3525370834412,111.66666666666667,18080.13530379123,2.5,2236405.75,29.633333333333333,75.0,187.05416666666667,360.0,397.5,1010.6161666666676,112.05416666666667,6.558380929105444
Source2,214044,54.409945151464186,44.63333333333333,199.2433253095262,6.6,68950.83333333333,29.466666666666665,29.716666666666665,59.96666666666667,90.26166666666686,119.48333333333333,196.82850000000036,30.250000000000004,1.219042833864022
Source3,6333,57.22450918469393,45.0,36.87119567535805,11.6,535.4166666666666,29.483333333333334,29.733333333333334,65.7,95.59,121.69333333333331,194.7506666666667,35.96666666666667,1.271655759659865
