duration_group,row_count,percentage
00_0_to_30,117770,26.06470917609669
01_31_to_60,100354,22.210221827783027
02_61_to_120,114095,25.25136277020253
03_121_to_360,106026,23.465541777233824
04_361_to_1440,11781,2.6073561926092816
05_over_1440,1811,0.4008082560746464
