Architecture,Dataset,MAE (Mins),MedAE (Mins),RMSE,MAPE (%)
XGBoost (Log-Transform),Dumb Join,48.28795073910092,21.19387181599935,106.79845258965832,52.7792177820507
XGBoost (Log-Transform),Gated Fusion,48.71611617208325,21.796938451131183,107.87826226507967,53.130070628991156
AFT Survival,Dumb Join,48.365967540026034,20.861709086100262,107.67278976296686,52.88779586672424
AFT Survival,Gated Fusion,48.07760141001169,21.51972541809083,106.83960132992696,52.570758322895905
Quantile Regressor,Dumb Join,49.617769879607856,20.981561059602548,111.07865669380764,65.14786237078779
Quantile Regressor,Gated Fusion,48.82994997922076,21.25776591965335,109.6291973425032,63.66871019342006
