duration_minutes,exact_count,percentage
5,2,0.0004426374998063461
10,79,0.017484181242350672
15,2618,0.579412487246507
30,7391,1.635766880534352
45,4518,0.9999181120625358
60,3693,0.817330143392418
90,498,0.11021673745178018
120,1221,0.27023019363177425
180,279,0.06174793122298529
240,3663,0.8106905808953229
360,23785,5.264066466446971
720,6,0.0013279124994190383
1440,8,0.0017705499992253845
