Severity,count,mean,median,standard_deviation,minimum,maximum,q10,q25,q75,q90,q95,q99,iqr,mean_median_ratio
1,4274,45.95837622835751,44.766666666666666,28.175025913328223,15.0,448.96666666666664,15.0,29.666666666666668,59.75,74.07333333333334,88.79833333333332,146.95599999999948,30.083333333333332,1.0266204667540768
2,351251,443.3652630170448,75.68333333333334,13861.436195363704,2.5,2236405.75,29.6,40.083333333333336,127.91666666666667,255.11666666666667,360.0,816.575,87.83333333333334,5.858162471046617
3,84513,77.04654964325015,44.4,1318.1584644449463,10.333333333333334,296640.4166666667,29.266666666666666,29.616666666666667,60.0,120.0,360.0,360.0,30.383333333333333,1.7352826496227511
4,11799,1616.9582337486227,132.11666666666667,26135.85360638626,10.0,1039752.0833333334,29.233333333333334,45.0,360.0,360.0,400.40833333333336,1806.0230000000006,315.0,12.238866409097685
