Feature,Expert0_Mean_Impact,Expert1_Mean_Impact,Expert2_Mean_Impact,Overall_Mean_Impact
emb_12,0.00012497779,0.00025270085,0.0028653818,0.0010810201
emb_311,2.3765197e-05,0.0028174962,0.0003599873,0.001067083
emb_291,5.591136e-05,0.00030676925,0.0027958087,0.0010528298
emb_176,0.00061429205,0.0025239082,0.0,0.0010460668
emb_166,0.0021198385,0.00019213313,0.00081693963,0.0010429703
emb_104,0.00026634336,0.00039390245,0.002394971,0.0010184055
emb_122,0.0016465577,0.00042993165,0.00097628933,0.001017593
Severity,0.00011339867,1.9504503e-06,0.0029020542,0.0010058011
emb_178,0.00023717913,0.0011783922,0.0015967565,0.0010041093
emb_220,0.0009311011,0.00016235853,0.0019073643,0.0010002747
emb_113,7.9194695e-05,0.00028613635,0.0026180828,0.0009944713
emb_360,0.00049103686,0.00010011376,0.0023752977,0.000988816
emb_316,0.00015971104,0.000113235925,0.0026649279,0.0009792916
emb_96,0.0003597699,0.00017541317,0.0023853984,0.00097352715
emb_135,0.00010696044,0.0003632153,0.0024502925,0.0009734894
emb_321,0.00031070606,0.00038421634,0.00217801,0.00095764414
emb_333,0.002390149,9.0093614e-05,0.00036496454,0.0009484024
emb_269,0.0021551372,0.0006809801,0.0,0.00094537245
emb_5,0.00020251103,0.00014468953,0.0024874404,0.0009448803
emb_222,0.00044413182,0.0009076833,0.0014734061,0.00094174035
emb_364,0.0003608633,8.53541e-05,0.0023554498,0.00093388907
emb_283,0.00011234192,0.0006048567,0.0020589558,0.00092538475
emb_161,0.00027127314,0.00015468274,0.0023023076,0.0009094211
emb_62,0.00012623552,0.0011592384,0.0013865051,0.00089065963
emb_159,0.00082114356,0.00013160141,0.0017014655,0.00088473683
emb_332,0.0004227262,9.2464004e-05,0.002105295,0.00087349507
emb_180,6.7819405e-05,0.0003350408,0.0021831987,0.0008620196
emb_66,0.0010537287,0.0014144897,0.00011406626,0.0008607616
emb_319,0.00047469835,0.0021074929,0.0,0.0008607304
emb_292,0.0018211816,0.00011620181,0.00060949445,0.00084895926
emb_383,0.0015086316,0.0010369433,0.0,0.000848525
emb_352,4.398872e-05,0.0008397234,0.0016520063,0.0008452395
emb_288,0.00037705558,0.00030766745,0.0018183361,0.00083435304
emb_186,0.0004359732,0.0020197548,0.0,0.000818576
emb_201,0.00032267405,0.00041334835,0.0017072757,0.00081443274
emb_25,0.0012206015,0.0003424726,0.0008669311,0.00081000174
emb_313,0.00045745884,0.0014525093,0.00047529532,0.00079508784
emb_116,0.00025785327,0.0005476048,0.0015756199,0.00079369266
emb_125,0.0013627725,0.00013177775,0.000886263,0.0007936044
emb_41,0.00036462184,0.0020155169,0.0,0.00079337956
emb_282,0.0010594634,9.652282e-05,0.0012050794,0.0007870219
emb_335,0.0010411883,0.00029831563,0.0010049919,0.0007814986
emb_103,0.00021606263,0.0017617734,0.00036371476,0.00078051694
emb_18,0.00035157907,0.0004968835,0.0014906139,0.00077969214
emb_136,0.00019541076,0.00030445142,0.0018119041,0.0007705888
emb_231,0.00031333676,0.0018522465,0.00013515941,0.00076691416
emb_216,0.00048475672,0.0011543359,0.0006601765,0.00076642307
emb_127,0.0006453184,0.0011434945,0.0005001707,0.0007629946
emb_2,0.0007300369,0.0003934048,0.0011642147,0.0007625521
emb_172,0.0005069533,0.00060058327,0.0011695607,0.0007590324
emb_263,0.00017846272,0.0006634657,0.001392646,0.0007448581
emb_174,0.0006452606,0.00038411687,0.0012050654,0.0007448143
emb_20,6.661314e-05,0.0004981651,0.0016482759,0.0007376847
emb_372,0.00027225082,0.0005970375,0.0013248964,0.0007313949
emb_259,0.00013297668,0.0017773234,0.0002692301,0.0007265101
emb_303,0.00055238703,0.00048060747,0.0011343134,0.00072243594
emb_289,8.3706786e-05,0.00019229641,0.0018896846,0.0007218959
emb_275,0.0004938156,0.0001841144,0.0014669744,0.00071496813
emb_192,0.00029529806,0.00040854278,0.0014355733,0.0007131381
emb_14,0.00080421503,0.0005541876,0.0007741724,0.0007108583
emb_244,9.83606e-05,0.00025208166,0.0017315672,0.00069400313
emb_123,0.0015589397,0.000515706,0.0,0.00069154863
emb_19,8.1985854e-05,0.00040414266,0.0015802003,0.0006887762
emb_146,0.00018203793,0.0013701062,0.0005066843,0.0006862762
emb_212,0.0005591105,0.0003842277,0.0011087877,0.000684042
emb_7,0.0012007297,0.00034582638,0.00048663077,0.00067772897
emb_39,0.0004902243,0.00039629356,0.0011373176,0.00067461183
emb_217,0.0011799043,0.00071036426,0.00012633823,0.0006722023
emb_160,0.000524365,0.0008367908,0.0006474356,0.0006695304
emb_145,7.3852156e-05,0.0003568192,0.0015708819,0.0006671844
emb_348,8.693988e-05,0.00036582135,0.0015305051,0.0006610888
emb_151,0.0002468432,0.00073731225,0.0009948916,0.0006596823
emb_117,0.0001162441,0.0009847101,0.0008658418,0.00065559865
emb_95,0.0003969064,0.00039492003,0.0011695464,0.00065379095
emb_255,0.00044255122,0.00019747039,0.0013107718,0.0006502645
emb_246,0.0001662156,0.00047621518,0.001297434,0.00064662163
emb_109,7.115149e-05,0.00037332837,0.001488724,0.0006444013
emb_150,2.1423113e-05,0.0009657676,0.0009445489,0.0006439132
emb_353,0.00035376448,0.0003181685,0.0012324058,0.0006347796
emb_349,0.00055045245,0.00026612764,0.0010581516,0.0006249105
emb_298,0.00089050754,0.0008543156,0.000112282374,0.00061903516
emb_181,0.00038208946,0.00089001725,0.0005822185,0.00061810843
emb_129,0.00037015157,0.00030897616,0.0011503529,0.0006098269
emb_153,0.0002537105,0.0010665465,0.00049619476,0.00060548395
emb_343,0.00027199739,0.0009914475,0.000492654,0.0005853663
emb_21,0.00017380239,0.00029399674,0.0012673445,0.0005783812
emb_290,0.00026888654,0.0013570222,7.949458e-05,0.0005684678
emb_92,0.00045014778,0.000102902406,0.0011372367,0.00056342897
emb_23,4.4120603e-05,0.001249809,0.00038008462,0.0005580048
emb_207,0.00010090134,0.0013546933,0.00021442797,0.0005566742
emb_75,0.0013413634,0.0003160469,0.0,0.0005524701
emb_144,0.0009048898,0.0007035508,0.0,0.00053614686
emb_48,0.00033042894,0.00081956,0.00045616468,0.0005353846
emb_256,0.00086504006,0.00023576723,0.00044190223,0.0005142365
emb_191,0.00029280788,0.0010636203,0.00017739646,0.0005112749
emb_318,0.0003554153,0.0005719358,0.00059790455,0.00050841854
emb_299,0.00076319353,0.0007592942,0.0,0.0005074959
emb_206,0.00025510724,0.00043243516,0.0008237117,0.0005037514
emb_204,0.00031749677,0.00026428117,0.00092526467,0.00050234754
emb_267,0.00034637752,0.00068067736,0.00047265203,0.0004999023
emb_10,6.8603105e-05,0.00067972526,0.00073059305,0.0004929738
emb_189,0.0009981672,0.00024660846,0.00023304489,0.00049260684
emb_297,0.00017183938,0.0011358958,0.00016481658,0.0004908506
emb_329,1.3468329e-05,0.0012641479,0.00019237574,0.0004899973
emb_262,0.00016873599,0.0007069887,0.00056260853,0.0004794444
emb_72,0.00048643848,0.0006209319,0.0003258368,0.00047773574
emb_285,0.00040535067,0.00088094844,0.00014410433,0.00047680116
emb_106,0.00048022182,0.0005245825,0.0004208738,0.00047522606
emb_29,0.00028221845,0.0009139845,0.00022457252,0.00047359182
emb_56,0.0005964898,0.0004900767,0.00033379698,0.0004734545
emb_112,0.00043935826,5.4817563e-05,0.0008980679,0.0004640812
emb_293,0.0007998891,0.0003713683,0.00021879963,0.0004633523
emb_224,0.00072706497,0.0001216828,0.00054039515,0.00046304765
emb_374,0.0004871694,0.0002558148,0.00064418954,0.00046239127
emb_59,0.00042862183,0.00019458243,0.0007477602,0.00045698814
emb_27,0.00010971182,0.0006380766,0.0006224695,0.00045675263
emb_249,0.00023077177,0.00040618307,0.0007142569,0.0004504039
emb_271,0.00024518862,0.0007288798,0.00037626474,0.00045011108
emb_266,0.00017425406,0.00026758693,0.0009057682,0.00044920307
emb_133,0.00023322986,0.00046709506,0.0006164819,0.0004389356
emb_167,0.00036069524,0.00066647603,0.00028639345,0.0004378549
emb_65,0.00050136284,0.00070389285,9.84796e-05,0.00043457843
emb_53,0.00015405078,0.0005100273,0.0006365302,0.0004335361
emb_185,0.0006424058,0.00015736838,0.0004973676,0.0004323806
emb_314,0.00025223647,0.00056631083,0.0004694307,0.000429326
emb_203,0.00011475709,0.0009867082,0.0001795944,0.0004270199
emb_228,8.461397e-05,0.00036922685,0.0008215101,0.00042511697
emb_232,0.0009463043,0.0003168666,0.0,0.00042105696
emb_80,0.00066103955,0.00046432548,0.00013572973,0.00042036493
emb_35,0.00019164025,0.00058043,0.0004752534,0.00041577453
emb_346,0.00016878928,0.0008004073,0.00027615138,0.000415116
emb_138,0.0005711841,0.0003797574,0.00029118144,0.00041404096
emb_108,0.0005706631,0.00035448454,0.00031631388,0.0004138205
