Model,MedAE,MAE,RMSE
Traditional LogNormal AFT (Khan 2026),48.734664842767415,80.36759240583098,156.66493511022477
Traditional Weibull AFT (Khan 2026),57.319764985464516,85.45943004338551,159.2288349486646
