Feature,Mean_Absolute_SHAP_Impact
Distance(mi),0.04349028
emb_79,0.009932456
emb_304,0.008622265
emb_270,0.007923658
event_year,0.006383875
emb_195,0.0057838513
emb_223,0.0051689683
emb_16,0.0051564253
emb_300,0.004378163
emb_327,0.0038459816
emb_213,0.003736837
emb_88,0.003096584
emb_333,0.002390149
emb_337,0.002371846
emb_269,0.0021551372
emb_166,0.0021198385
emb_247,0.0020057247
emb_209,0.0019303681
emb_292,0.0018211816
emb_122,0.0016465577
emb_47,0.0016336961
emb_87,0.0015875327
emb_123,0.0015589397
emb_383,0.0015086316
emb_141,0.0015030744
emb_254,0.0014524007
emb_125,0.0013627725
emb_75,0.0013413634
emb_381,0.0012463978
emb_302,0.0012315541
emb_25,0.0012206015
emb_7,0.0012007297
emb_68,0.001189621
emb_94,0.0011860805
emb_217,0.0011799043
emb_365,0.0011558476
emb_140,0.0011139433
emb_282,0.0010594634
emb_66,0.0010537287
emb_335,0.0010411883
emb_189,0.0009981672
emb_118,0.00096558605
emb_69,0.0009608644
emb_232,0.0009463043
emb_78,0.00094620243
emb_220,0.0009311011
emb_97,0.00091542286
emb_144,0.0009048898
emb_298,0.00089050754
emb_355,0.0008686166
emb_256,0.00086504006
Start_Lng,0.0008503892
emb_235,0.0008327054
emb_159,0.00082114356
emb_14,0.00080421503
emb_293,0.0007998891
Start_Lat,0.0007821077
emb_98,0.0007689332
emb_379,0.0007643135
emb_299,0.00076319353
emb_362,0.0007522032
emb_2,0.0007300369
emb_307,0.00072915235
emb_224,0.00072706497
emb_175,0.0007243813
emb_44,0.0006920498
emb_367,0.0006806523
emb_80,0.00066103955
emb_127,0.0006453184
emb_174,0.0006452606
emb_185,0.0006424058
Precipitation(in),0.00063386426
emb_338,0.0006271758
emb_176,0.00061429205
emb_24,0.00060475897
emb_15,0.0005974669
emb_56,0.0005964898
emb_73,0.00058208883
emb_229,0.0005751561
emb_138,0.0005711841
emb_108,0.0005706631
emb_60,0.000568966
emb_212,0.0005591105
emb_99,0.00055597327
emb_303,0.00055238703
emb_349,0.00055045245
emb_4,0.0005344252
emb_1,0.00053105294
emb_157,0.000525414
emb_160,0.000524365
emb_250,0.0005154736
emb_85,0.0005115685
emb_172,0.0005069533
emb_260,0.0005014607
emb_65,0.00050136284
emb_130,0.0005011312
emb_275,0.0004938156
emb_360,0.00049103686
emb_39,0.0004902243
emb_374,0.0004871694
emb_72,0.00048643848
emb_216,0.00048475672
emb_106,0.00048022182
emb_169,0.0004780512
emb_230,0.00047645997
emb_319,0.00047469835
emb_301,0.00046725734
emb_199,0.0004579212
emb_313,0.00045745884
emb_9,0.0004545872
emb_92,0.00045014778
emb_257,0.00044721362
emb_196,0.0004457501
emb_222,0.00044413182
emb_255,0.00044255122
emb_112,0.00043935826
emb_186,0.0004359732
emb_139,0.00042974332
emb_59,0.00042862183
emb_239,0.00042845364
emb_168,0.00042734592
emb_8,0.0004273231
emb_332,0.0004227262
emb_200,0.0004208379
emb_350,0.00042042413
emb_3,0.00041870668
emb_280,0.00041702107
emb_326,0.00041341066
emb_369,0.00041284502
emb_253,0.0004106868
emb_34,0.00040721844
emb_285,0.00040535067
emb_219,0.00040123533
emb_366,0.00039849448
emb_95,0.0003969064
emb_74,0.00039353428
emb_276,0.00038830136
emb_181,0.00038208946
emb_38,0.0003816422
emb_310,0.0003808221
emb_288,0.00037705558
emb_225,0.00037693477
emb_371,0.00037445247
emb_226,0.00037231896
emb_129,0.00037015157
emb_361,0.0003700826
emb_93,0.00036979397
emb_41,0.00036462184
emb_370,0.0003617034
emb_364,0.0003608633
emb_167,0.00036069524
emb_96,0.0003597699
emb_318,0.0003554153
emb_353,0.00035376448
emb_18,0.00035157907
emb_267,0.00034637752
emb_356,0.0003460108
emb_277,0.00034388382
emb_83,0.00034223968
emb_36,0.0003400858
emb_336,0.0003384141
emb_156,0.00033732635
emb_171,0.00033599488
emb_48,0.00033042894
emb_322,0.00032963644
emb_162,0.00032713648
emb_201,0.00032267405
emb_210,0.0003220613
emb_265,0.0003208341
emb_57,0.00032019356
emb_305,0.0003192167
emb_204,0.00031749677
emb_211,0.0003145732
emb_231,0.00031333676
emb_193,0.0003127087
emb_321,0.00031070606
emb_237,0.00030750997
emb_28,0.00030435534
emb_287,0.0003023962
emb_134,0.00030210937
emb_105,0.00030197896
emb_227,0.00030137534
emb_61,0.00029976896
emb_142,0.00029919503
emb_152,0.00029819948
emb_54,0.00029733995
emb_315,0.00029681262
emb_192,0.00029529806
emb_191,0.00029280788
emb_30,0.00028792798
emb_218,0.00028752696
emb_89,0.00028686126
emb_29,0.00028221845
emb_345,0.00028141553
emb_40,0.00028007894
emb_202,0.00027940294
emb_190,0.0002775886
emb_372,0.00027225082
emb_91,0.00027221037
emb_343,0.00027199739
emb_161,0.00027127314
emb_317,0.00027018777
emb_290,0.00026888654
emb_286,0.00026662016
emb_104,0.00026634336
emb_359,0.00026462632
emb_137,0.00026399666
emb_115,0.00026367142
emb_325,0.00026129468
emb_261,0.00026121576
gate_q_text_len,0.00025996662
emb_0,0.000259627
emb_116,0.00025785327
emb_368,0.000257487
emb_206,0.00025510724
emb_153,0.0002537105
emb_238,0.00025354628
emb_314,0.00025223647
emb_149,0.00025218783
emb_272,0.0002499734
emb_323,0.00024961188
emb_151,0.0002468432
emb_271,0.00024518862
emb_67,0.00024402674
emb_258,0.00023791996
emb_178,0.00023717913
emb_240,0.00023652783
emb_45,0.00023409443
emb_133,0.00023322986
emb_42,0.00023136809
emb_284,0.00023102669
emb_249,0.00023077177
emb_373,0.00023010773
emb_354,0.00022880443
emb_208,0.00022347755
event_hour,0.00022247343
emb_164,0.00022194303
emb_344,0.00022167787
event_month,0.00021730126
emb_320,0.00021721145
emb_103,0.00021606263
emb_309,0.00021574408
emb_358,0.00021465047
emb_342,0.00021426815
emb_100,0.00021103222
emb_46,0.00020783447
emb_52,0.00020701872
emb_5,0.00020251103
emb_90,0.00019896738
emb_58,0.00019619723
emb_111,0.00019614371
emb_136,0.00019541076
emb_233,0.00019455192
emb_55,0.00019436293
emb_242,0.00019379774
emb_31,0.00019316252
emb_252,0.0001921138
emb_35,0.00019164025
emb_278,0.00019095468
emb_173,0.00018744818
emb_6,0.0001852806
emb_82,0.00018497258
emb_146,0.00018203793
emb_64,0.00018062792
emb_148,0.00017866743
emb_263,0.00017846272
emb_328,0.00017530523
emb_334,0.000174581
emb_266,0.00017425406
emb_241,0.0001739517
emb_21,0.00017380239
emb_297,0.00017183938
emb_119,0.00016977529
emb_131,0.00016915373
emb_346,0.00016878928
emb_262,0.00016873599
emb_279,0.00016627992
emb_246,0.0001662156
emb_13,0.00016265135
emb_86,0.00016211133
emb_316,0.00015971104
emb_102,0.00015965223
emb_264,0.0001560055
emb_53,0.00015405078
emb_22,0.00015130351
emb_341,0.00015101727
emb_340,0.00014811133
emb_121,0.00014791153
emb_124,0.00014349508
emb_339,0.00014212234
emb_17,0.0001416456
emb_165,0.00013979347
emb_312,0.00013931436
emb_107,0.00013924505
emb_274,0.00013583798
emb_182,0.0001351297
emb_198,0.00013475631
emb_330,0.00013356666
emb_259,0.00013297668
emb_294,0.0001314772
event_day_of_week,0.00012773767
emb_43,0.00012734461
emb_62,0.00012623552
emb_243,0.00012608132
emb_110,0.00012546203
emb_163,0.00012528985
emb_12,0.00012497779
emb_197,0.00012470908
emb_351,0.00012375582
emb_101,0.000121476915
emb_76,0.00012009147
emb_77,0.000118303426
emb_205,0.00011806638
emb_117,0.0001162441
emb_84,0.00011560313
emb_347,0.000114849114
emb_203,0.00011475709
emb_378,0.00011467657
emb_187,0.00011355764
Severity,0.00011339867
emb_170,0.00011310839
emb_283,0.00011234192
emb_26,0.000111128735
emb_215,0.00011111756
emb_27,0.00010971182
emb_81,0.00010708552
