param,covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
lambda_,Distance(mi),0.13306454542737242,1.1423237277246248,0.009368406547438897,0.11470280600186294,0.1514262848528819,1.1215400730590426,1.163492531625294,0.0,14.203540885375983,8.709791966238554e-46,149.68605410441705
lambda_,Precipitation(in),-0.016927319666529207,0.9832151424425158,0.2510093967972916,-0.5088966971703444,0.4750420578372859,0.6011584729027843,1.6080818285074514,0.0,-0.06743699591533321,0.9462338177291486,0.07973137221333769
lambda_,Severity,-0.09063789510098937,0.9133483789499134,0.019987875887929597,-0.12981341196878793,-0.0514623782331908,0.8782592883046711,0.9498393839258161,0.0,-4.534643681459136,5.770081176558121e-06,17.402976953712685
lambda_,Start_Lat,0.003050083015240707,1.003054739251206,0.0019763729786739072,-0.0008235368429782993,0.006923702873459713,0.9991768021704178,1.0069477271177707,0.0,1.543272979418708,0.12276455675252688,3.0260339932839044
lambda_,Start_Lng,-0.0025145083893062074,0.9974886503388096,0.000591839740615418,-0.0036744929655319544,-0.0013545238130804607,0.9963322497225634,0.9986463931402413,0.0,-4.248630527398387,2.150813132868579e-05,15.504758288585572
lambda_,Visibility(mi),0.0003311046038534259,1.000331159425033,0.0033241215492244938,-0.00618405391286007,0.006846263120566922,0.9938350279937631,1.0068697523538188,0.0,0.09960664763617669,0.920656616025612,0.119264930678944
lambda_,event_day_of_week,0.014381721480046055,1.0144856359953491,0.005747308958506279,0.00311720291334934,0.02564624004674277,1.0031220664425737,1.0259779343611977,0.0,2.5023400662601323,0.012337535448174335,6.340801959939507
lambda_,event_hour,-0.00627776763773016,0.9937418963753071,0.0018473934610554385,-0.009898592286673618,-0.002656942988786702,0.9901502375296606,0.9973465835602647,0.0,-3.39817573790891,0.0006783682816755088,10.525643663862995
lambda_,event_month,0.006792327562019911,1.0068154477358298,0.0027769772835643997,0.0013495521003478146,0.012235103023692007,1.0013504631555763,1.0123102580939316,0.0,2.4459427890247607,0.014447392374633276,6.113047067129677
lambda_,event_year,0.02418191006472058,1.024476663557204,0.005585697054467006,0.013234145009413783,0.035129675120027376,1.013322103898406,1.0357540116173434,0.0,4.329255566300676,1.4961422893369167e-05,16.02839308640449
lambda_,is_secondary_crash,0.35521904373996444,1.4264930844425452,0.049422167677663824,0.25835337505384376,0.4520847124260851,1.294796286498068,1.5715850757233714,0.0,7.187443619566376,6.601564787437722e-13,40.462257202473225
lambda_,Intercept,-44.36381952772535,5.408016188412027e-20,11.297915429384807,-66.50732686969894,-22.220312185751744,1.3068776607056088e-29,2.2379018307142626e-10,0.0,-3.9267261119993218,8.61099408976408e-05,13.503460676351695
rho_,Intercept,0.045673055905306376,1.0467321321176415,0.00748565897284308,0.031001433917984843,0.06034467789262791,1.0314869829531983,1.0622026012103893,0.0,6.101407514154975,1.0513846986635315e-09,29.82506221008603
